stage_type,stage_length,race_class,race_day
1,14.0,2,0.047619047619
1,203.5,2,0.0952380952381
1,212.5,2,0.142857142857
1,207.5,2,0.190476190476
5,160.5,2,0.238095238095
1,216.0,2,0.285714285714
1,213.5,2,0.333333333333
4,187.5,2,0.380952380952
4,181.5,2,0.428571428571
1,178.0,2,0.47619047619
1,203.5,2,0.52380952381
5,214.5,2,0.571428571429
4,101.0,2,0.619047619048
1,181.5,2,0.666666666667
2,189.5,2,0.714285714286
1,165.0,2,0.761904761905
4,183.0,2,0.809523809524
5,179.5,2,0.857142857143
1,222.5,2,0.904761904762
1,22.5,2,0.952380952381
1,105.0,2,1.0
